sentence,Clara,Sergei,Shawn,gold_standard
elephant vomit boat,0,0,0,0
tape attach sticker,1,0,1,1
knife dig bike,0,0,1,1
girl cut grape,1,1,1,1
policeman halt ball,1,1,1,1
man fold paper,1,1,1,1
fire warm vapor,1,0,1,1
man poison dog,1,1,1,1
man drink rock,0,0,0,0
water poison bush,1,1,1,1
cat drive train,0,0,0,0
wood chop onions,0,0,0,0
child spill sand,1,0,1,1
woman eat air,0,0,0,0
witch bite air,0,0,0,0
cloud poke trolley,0,0,0,0
water wet oil,0,0,0,0
uncle heave table,1,1,1,1
knife slice rabbit,1,1,1,1
man fold rock,0,0,0,0